retailer_moniker,project_id_prod,project_id_qa,project_id_stg,md5_hash
basspro,monitor-56e6f14-us-prod,monitor-56e6f14-us-qa,monitor-56e6f14-us-stg,56e6f14
bata,monitor-09ed10e-us-prod,monitor-09ed10e-us-qa,monitor-09ed10e-us-stg,09ed10e
batesfootwear,monitor-1c280f7-us-prod,monitor-1c280f7-us-qa,monitor-1c280f7-us-stg,1c280f7
bathandbodyworks,monitor-28f31f5-us-prod,monitor-28f31f5-us-qa,monitor-28f31f5-us-stg,28f31f5
bathandbodyworksca,monitor-96b5daa-us-prod,monitor-96b5daa-us-qa,monitor-96b5daa-us-stg,96b5daa
bathrugby,monitor-f433462-us-prod,monitor-f433462-us-qa,monitor-f433462-us-stg,f433462
baublebar,monitor-55fb6a7-us-prod,monitor-55fb6a7-us-qa,monitor-55fb6a7-us-stg,55fb6a7
bauer,monitor-ba69542-us-prod,monitor-ba69542-us-qa,monitor-ba69542-us-stg,ba69542
bauerca,monitor-753dde3-us-prod,monitor-753dde3-us-qa,monitor-753dde3-us-stg,753dde3
baume-et-mercier,monitor-1c10766-us-prod,monitor-1c10766-us-qa,monitor-1c10766-us-stg,1c10766
baume-et-mercier-qa,monitor-f6d62f1-us-prod,monitor-f6d62f1-us-qa,monitor-f6d62f1-us-stg,f6d62f1
bcbg,monitor-cba3a10-us-prod,monitor-cba3a10-us-qa,monitor-cba3a10-us-stg,cba3a10
bcbgmaxazria,monitor-32e0142-us-prod,monitor-32e0142-us-qa,monitor-32e0142-us-stg,32e0142
bccretailer,monitor-262d021-us-prod,monitor-262d021-us-qa,monitor-262d021-us-stg,262d021
beach2ocean,monitor-37f7cd6-us-prod,monitor-37f7cd6-us-qa,monitor-37f7cd6-us-stg,37f7cd6
